Name; Elements
W_4000_30_600;[[2309.401,(36,48)],[2309.401,(36,48)],[4000,(36,36)],[643.739,(36,36)],[643.739,(36,36)],[1360.784,(36,36)],[1360.784,(36,36)]]
W_5000_30_600;[[2886.751,(36,148)],[2886.751,(36,148)],[5000,(36,36)],[804.674,(36,36)],[804.674,(36,36)],[1700.98,(36,36)],[1700.98,(36,36)]]
W_6000_30_600;[[3464.102,(36,148)],[3464.102,(36,148)],[6000,(36,36)],[965.609,(36,36)],[965.609,(36,36)],[2041.176,(36,36)],[2041.176,(36,36)]]
W_7000_30_600;[[4041.452,(36,148)],[4041.452,(36,148)],[7000,(36,148)],[1126.543,(36,36)],[1126.543,(36,36)],[2381.372,(36,36)],[2381.372,(36,36)]]
W_8000_30_600;[[4618.802,(36,148)],[4618.802,(36,148)],[8000,(36,148)],[1287.478,(36,36)],[1287.478,(36,36)],[2721.568,(36,36)],[2721.568,(36,36)]]
W_3000_35_600;[[1831.162,(36,36)],[1831.162,(36,36)],[3000,(36,36)],[551.918,(36,36)],[551.918,(36,36)],[1180.997,(36,36)],[1180.997,(36,36)]]
W_4000_35_600;[[2441.549,(36,48)],[2441.549,(36,48)],[4000,(36,36)],[735.891,(36,36)],[735.891,(36,36)],[1574.663,(36,36)],[1574.663,(36,36)]]
W_5000_35_600;[[3051.936,(36,148)],[3051.936,(36,148)],[5000,(36,36)],[919.864,(36,36)],[919.864,(36,36)],[1968.328,(36,36)],[1968.328,(36,36)]]
W_6000_35_600;[[3662.324,(36,148)],[3662.324,(36,148)],[6000,(36,36)],[1103.836,(36,36)],[1103.836,(36,36)],[2361.994,(36,36)],[2361.994,(36,36)]]
W_7000_35_600;[[4272.711,(36,148)],[4272.711,(36,148)],[7000,(36,48)],[1287.809,(36,36)],[1287.809,(36,36)],[2755.66,(36,36)],[2755.66,(36,36)]]
W_8000_35_600;[[4883.098,(36,148)],[4883.098,(36,148)],[8000,(36,148)],[1471.782,(36,36)],[1471.782,(36,36)],[3149.325,(36,36)],[3149.325,(36,36)]]
W_3000_15_750;[[1552.914,(36,48)],[1552.914,(36,48)],[3000,(36,36)],[337.546,(36,36)],[337.546,(36,36)],[673.159,(36,36)],[673.159,(36,36)]]
W_4000_15_750;[[2070.553,(36,148)],[2070.553,(36,148)],[4000,(36,36)],[450.062,(36,36)],[450.062,(36,36)],[897.545,(36,36)],[897.545,(36,36)]]
W_5000_15_750;[[2588.191,(36,148)],[2588.191,(36,148)],[5000,(36,148)],[562.577,(36,36)],[562.577,(36,36)],[1121.931,(36,36)],[1121.931,(36,36)]]
W_6000_15_750;[[3105.829,(36,148)],[3105.829,(36,148)],[6000,(36,148)],[675.092,(36,36)],[675.092,(36,36)],[1346.318,(36,36)],[1346.318,(36,36)]]
W_7000_15_750;[[3623.467,(48,148)],[3623.467,(48,148)],[7000,(36,148)],[787.608,(36,36)],[787.608,(36,36)],[1570.704,(36,36)],[1570.704,(36,36)]]
W_8000_15_750;[[4141.105,(48,148)],[4141.105,(48,148)],[8000,(48,148)],[900.123,(36,36)],[900.123,(36,36)],[1795.09,(36,36)],[1795.09,(36,36)]]
W_3000_20_750;[[1596.267,(36,36)],[1596.267,(36,36)],[3000,(36,36)],[376.276,(36,36)],[376.276,(36,36)],[767.898,(36,36)],[767.898,(36,36)]]
W_4000_20_750;[[2128.356,(36,48)],[2128.356,(36,48)],[4000,(36,36)],[501.701,(36,36)],[501.701,(36,36)],[1023.864,(36,36)],[1023.864,(36,36)]]
W_5000_20_750;[[2660.444,(36,148)],[2660.444,(36,148)],[5000,(36,36)],[627.127,(36,36)],[627.127,(36,36)],[1279.83,(36,36)],[1279.83,(36,36)]]
W_6000_20_750;[[3192.533,(36,148)],[3192.533,(36,148)],[6000,(36,148)],[752.552,(36,36)],[752.552,(36,36)],[1535.796,(36,36)],[1535.796,(36,36)]]
W_7000_20_750;[[3724.622,(36,148)],[3724.622,(36,148)],[7000,(36,148)],[877.977,(36,36)],[877.977,(36,36)],[1791.762,(36,36)],[1791.762,(36,36)]]
W_8000_20_750;[[4256.711,(48,148)],[4256.711,(48,148)],[8000,(36,148)],[1003.403,(36,36)],[1003.403,(36,36)],[2047.728,(36,36)],[2047.728,(36,36)]]
W_3000_25_750;[[1655.067,(36,36)],[1655.067,(36,36)],[3000,(36,36)],[424.614,(36,36)],[424.614,(36,36)],[883.655,(36,36)],[883.655,(36,36)]]
W_4000_25_750;[[2206.756,(36,48)],[2206.756,(36,48)],[4000,(36,36)],[566.153,(36,36)],[566.153,(36,36)],[1178.207,(36,36)],[1178.207,(36,36)]]
W_5000_25_750;[[2758.445,(36,148)],[2758.445,(36,148)],[5000,(36,36)],[707.691,(36,36)],[707.691,(36,36)],[1472.759,(36,36)],[1472.759,(36,36)]]
W_6000_25_750;[[3310.134,(36,148)],[3310.134,(36,148)],[6000,(36,148)],[849.229,(36,36)],[849.229,(36,36)],[1767.31,(36,36)],[1767.31,(36,36)]]
W_7000_25_750;[[3861.822,(36,148)],[3861.822,(36,148)],[7000,(36,148)],[990.767,(36,36)],[990.767,(36,36)],[2061.862,(36,36)],[2061.862,(36,36)]]
W_8000_25_750;[[4413.511,(48,148)],[4413.511,(48,148)],[8000,(36,148)],[1132.305,(36,36)],[1132.305,(36,36)],[2356.414,(36,36)],[2356.414,(36,36)]]
W_3000_30_750;[[1732.051,(36,36)],[1732.051,(36,36)],[3000,(36,36)],[482.804,(36,36)],[482.804,(36,36)],[1020.588,(36,36)],[1020.588,(36,36)]]
W_4000_30_750;[[2309.401,(36,48)],[2309.401,(36,48)],[4000,(36,36)],[643.739,(36,36)],[643.739,(36,36)],[1360.784,(36,36)],[1360.784,(36,36)]]
W_5000_30_750;[[2886.751,(36,148)],[2886.751,(36,148)],[5000,(36,36)],[804.674,(36,36)],[804.674,(36,36)],[1700.98,(36,36)],[1700.98,(36,36)]]
W_6000_30_750;[[3464.102,(36,148)],[3464.102,(36,148)],[6000,(36,48)],[965.609,(36,36)],[965.609,(36,36)],[2041.176,(36,36)],[2041.176,(36,36)]]
W_7000_30_750;[[4041.452,(36,148)],[4041.452,(36,148)],[7000,(36,148)],[1126.543,(36,36)],[1126.543,(36,36)],[2381.372,(36,36)],[2381.372,(36,36)]]
W_8000_30_750;[[4618.802,(48,148)],[4618.802,(48,148)],[8000,(36,148)],[1287.478,(36,36)],[1287.478,(36,36)],[2721.568,(36,36)],[2721.568,(36,36)]]
W_3000_35_750;[[1831.162,(36,36)],[1831.162,(36,36)],[3000,(36,36)],[551.918,(36,36)],[551.918,(36,36)],[1180.997,(36,36)],[1180.997,(36,36)]]
W_4000_35_750;[[2441.549,(36,48)],[2441.549,(36,48)],[4000,(36,36)],[735.891,(36,36)],[735.891,(36,36)],[1574.663,(36,36)],[1574.663,(36,36)]]
W_5000_35_750;[[3051.936,(36,148)],[3051.936,(36,148)],[5000,(36,36)],[919.864,(36,36)],[919.864,(36,36)],[1968.328,(36,36)],[1968.328,(36,36)]]
W_6000_35_750;[[3662.324,(36,148)],[3662.324,(36,148)],[6000,(36,36)],[1103.836,(36,36)],[1103.836,(36,36)],[2361.994,(36,36)],[2361.994,(36,36)]]
W_7000_35_750;[[4272.711,(36,148)],[4272.711,(36,148)],[7000,(36,148)],[1287.809,(36,36)],[1287.809,(36,36)],[2755.66,(36,36)],[2755.66,(36,36)]]
W_8000_35_750;[[4883.098,(48,148)],[4883.098,(48,148)],[8000,(36,148)],[1471.782,(36,36)],[1471.782,(36,36)],[3149.325,(36,36)],[3149.325,(36,36)]]
WW_5000_15_300;[[2588.19,(36,36)],[2588.19,(36,36)],[5000,(36,36)],[517.638,(36,36)],[641.516,(36,36)],[641.516,(36,36)],[835.901,(36,36)],[517.638,(36,36)],[641.516,(36,36)],[641.516,(36,36)],[835.901,(36,36)]]
WW_6000_15_300;[[3105.828,(36,48)],[3105.828,(36,48)],[6000,(36,36)],[621.166,(36,36)],[769.819,(36,36)],[769.819,(36,36)],[1003.081,(36,36)],[621.166,(36,36)],[769.819,(36,36)],[769.819,(36,36)],[1003.081,(36,36)]]
WW_7000_15_300;[[3623.467,(36,148)],[3623.467,(36,148)],[7000,(36,36)],[724.693,(36,36)],[898.122,(36,36)],[898.122,(36,36)],[1170.261,(36,36)],[724.693,(36,36)],[898.122,(36,36)],[898.122,(36,36)],[1170.261,(36,36)]]
WW_8000_15_300;[[4141.105,(36,148)],[4141.105,(36,148)],[8000,(36,36)],[828.221,(36,36)],[1026.426,(36,36)],[1026.426,(36,36)],[1337.441,(36,36)],[828.221,(36,36)],[1026.426,(36,36)],[1026.426,(36,36)],[1337.441,(36,36)]]
WW_9000_15_300;[[4658.743,(36,148)],[4658.743,(36,148)],[9000,(36,48)],[931.749,(36,36)],[1154.729,(36,36)],[1154.729,(36,36)],[1504.621,(36,36)],[931.749,(36,36)],[1154.729,(36,36)],[1154.729,(36,36)],[1504.621,(36,36)]]
WW_10000_15_300;[[5176.38,(36,148)],[5176.38,(36,148)],[10000,(36,148)],[1035.276,(36,36)],[1283.032,(36,36)],[1283.032,(36,36)],[1671.801,(36,36)],[1035.276,(36,36)],[1283.032,(36,36)],[1283.032,(36,36)],[1671.801,(36,36)]]
WW_11000_15_300;[[5694.02,(48,148)],[5694.02,(48,148)],[11000,(36,148)],[1138.804,(36,36)],[1411.335,(36,36)],[1411.335,(36,36)],[1838.981,(36,36)],[1138.804,(36,36)],[1411.335,(36,36)],[1411.335,(36,36)],[1838.981,(36,36)]]
WW_12000_15_300;[[6211.657,(48,148)],[6211.657,(48,148)],[12000,(36,148)],[1242.331,(36,36)],[1539.638,(36,36)],[1539.638,(36,36)],[2006.161,(36,36)],[1242.331,(36,36)],[1539.638,(36,36)],[1539.638,(36,36)],[2006.161,(36,36)]]
WW_13000_15_300;[[6729.295,(48,148)],[6729.295,(48,148)],[13000,(36,148)],[1345.859,(36,36)],[1667.942,(36,36)],[1667.942,(36,36)],[2173.342,(36,36)],[1345.859,(36,36)],[1667.942,(36,36)],[1667.942,(36,36)],[2173.342,(36,36)]]
WW_14000_15_300;[[7246.933,(48,198)],[7246.933,(48,198)],[14000,(36,148)],[1449.387,(36,36)],[1796.245,(36,36)],[1796.245,(36,36)],[2340.522,(36,36)],[1449.387,(36,36)],[1796.245,(36,36)],[1796.245,(36,36)],[2340.522,(36,36)]]
WW_15000_15_300;[[7764.572,(48,198)],[7764.572,(48,198)],[15000,(48,148)],[1552.914,(36,36)],[1924.548,(36,36)],[1924.548,(36,36)],[2507.702,(36,36)],[1552.914,(36,36)],[1924.548,(36,36)],[1924.548,(36,36)],[2507.702,(36,36)]]
WW_16000_15_300;[[8282.21,(61,198)],[8282.21,(61,198)],[16000,(48,148)],[1656.442,(36,36)],[2052.851,(36,36)],[2052.851,(36,48)],[2674.882,(36,36)],[1656.442,(36,36)],[2052.851,(36,36)],[2052.851,(36,48)],[2674.882,(36,36)]]
WW_17000_15_300;[[8799.848,(61,198)],[8799.848,(61,198)],[17000,(48,148)],[1759.97,(36,36)],[2181.154,(36,36)],[2181.154,(36,48)],[2842.062,(36,36)],[1759.97,(36,36)],[2181.154,(36,36)],[2181.154,(36,48)],[2842.062,(36,36)]]
WW_18000_15_300;[[9317.485,(61,198)],[9317.485,(61,198)],[18000,(48,148)],[1863.497,(36,36)],[2309.457,(36,36)],[2309.457,(36,148)],[3009.242,(36,36)],[1863.497,(36,36)],[2309.457,(36,36)],[2309.457,(36,148)],[3009.242,(36,36)]]
WW_5000_20_300;[[2660.445,(36,36)],[2660.445,(36,36)],[5000,(36,36)],[532.089,(36,36)],[740.316,(36,36)],[740.316,(36,36)],[1038.251,(36,36)],[532.089,(36,36)],[740.316,(36,36)],[740.316,(36,36)],[1038.251,(36,36)]]
WW_6000_20_300;[[3192.533,(36,48)],[3192.533,(36,48)],[6000,(36,36)],[638.507,(36,36)],[888.379,(36,36)],[888.379,(36,36)],[1245.901,(36,36)],[638.507,(36,36)],[888.379,(36,36)],[888.379,(36,36)],[1245.901,(36,36)]]
WW_7000_20_300;[[3724.622,(36,48)],[3724.622,(36,48)],[7000,(36,36)],[744.924,(36,36)],[1036.442,(36,36)],[1036.442,(36,36)],[1453.551,(36,36)],[744.924,(36,36)],[1036.442,(36,36)],[1036.442,(36,36)],[1453.551,(36,36)]]
WW_8000_20_300;[[4256.71,(36,148)],[4256.71,(36,148)],[8000,(36,36)],[851.342,(36,36)],[1184.505,(36,36)],[1184.505,(36,36)],[1661.201,(36,36)],[851.342,(36,36)],[1184.505,(36,36)],[1184.505,(36,36)],[1661.201,(36,36)]]
WW_9000_20_300;[[4788.8,(36,148)],[4788.8,(36,148)],[9000,(36,36)],[957.76,(36,36)],[1332.568,(36,36)],[1332.568,(36,36)],[1868.851,(36,36)],[957.76,(36,36)],[1332.568,(36,36)],[1332.568,(36,36)],[1868.851,(36,36)]]
WW_10000_20_300;[[5320.89,(36,148)],[5320.89,(36,148)],[10000,(36,48)],[1064.178,(36,36)],[1480.631,(36,36)],[1480.631,(36,36)],[2076.501,(36,36)],[1064.178,(36,36)],[1480.631,(36,36)],[1480.631,(36,36)],[2076.501,(36,36)]]
